feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,sqrt,0.1,0.1,0.5,,,,
A,15,10,115,sqrt,0.1,0.05,1.0,,,,
A,15,10,115,sqrt,0.1,0.1,1.0,,,,
A,15,10,115,sqrt,0.1,0.5,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,sqrt,0.1,0.1,0.75,,,,
A,15,10,115,sqrt,0.1,0.5,0.5,,,,
A,15,10,115,sqrt,0.1,0.5,0.75,,,,
A,15,10,115,sqrt,0.5,0.0,0.0,5504.572084471677,0.6431319197597304,27.6866485427738,37.609723002293876
A,15,10,115,sqrt,0.5,0.0,0.5,5504.572084471677,0.6431319197597304,27.6866485427738,37.609723002293876
A,15,10,115,sqrt,0.5,0.0,0.75,5504.572084471677,0.6431319197597304,27.6866485427738,37.609723002293876
A,15,10,115,sqrt,0.5,0.0,1.0,5504.572084471677,0.6431319197597304,27.6866485427738,37.609723002293876
A,15,10,115,sqrt,0.5,0.05,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,sqrt,0.1,0.5,1.0,,,,
A,15,10,115,sqrt,0.5,0.05,0.5,,,,
A,15,10,115,sqrt,0.5,0.05,0.75,,,,
A,15,10,115,sqrt,0.5,0.1,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,sqrt,0.5,0.05,1.0,,,,
A,15,10,115,sqrt,0.5,0.1,0.5,,,,
