feature_set,window_size,n_components,clipping_threshold,n_estimators,max_depth,min_samples_leaf,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,125,50,10.0,10,sqrt,7.0956235247101045,0.8622060064418982,12.369280532462293,16.177366396228713
A,15,10,125,50,10.0,10,1.0,7.271090980580034,0.864521164651961,11.125637863993624,15.898122828222522
A,15,10,125,50,,1,sqrt,6.854873031302617,0.8598969871658255,11.644901156249048,16.02733492095099
A,15,10,125,50,,1,1.0,7.396546204850961,0.8578783605380697,11.422002887910336,16.327284468627877
A,15,10,125,50,,5,sqrt,6.723189237079124,0.8625404819048217,11.563080505150513,15.8816162867594
A,15,10,125,50,,5,1.0,7.387142737395514,0.8605107710043998,11.27504352075218,16.14253575102891
A,15,10,125,50,,10,sqrt,6.630111157224936,0.862936512215722,11.67047529788534,15.890632049433862
A,15,10,125,50,,10,1.0,7.299165707443163,0.8620502735522793,11.202161580296444,16.017392431051025
A,15,10,125,100,5.0,1,sqrt,9.617422039350902,0.8451975476477477,15.642924537019091,18.657980361765503
A,15,10,125,100,5.0,1,1.0,7.359885042610578,0.8628335329152728,11.82735114056218,16.237094530666255
A,15,10,125,100,5.0,5,sqrt,9.676483318602576,0.8451328480858156,15.666652478933022,18.69110141999925
A,15,10,125,100,5.0,5,1.0,7.358947195914405,0.8628399939640014,11.827146799353477,16.235558441816487
A,15,10,125,100,5.0,10,sqrt,9.643289534212467,0.8449214809571742,15.512996214077033,18.574585709657583
A,15,10,125,100,5.0,10,1.0,7.358553609954983,0.8628489555508079,11.826618689361156,16.234062993207605
A,15,10,125,100,10.0,1,sqrt,7.036289802686542,0.8631967903270686,12.20484160186322,16.05982369503186
A,15,10,125,100,10.0,1,1.0,7.297964821440135,0.8648137756699488,11.131468369661093,15.92474358496462
A,15,10,125,100,10.0,5,sqrt,6.925906720405427,0.8631301625122452,12.197491377444052,16.037625397003524
A,15,10,125,100,10.0,5,1.0,7.257285384497171,0.8646661266604889,11.128637355096362,15.913838118912889
A,15,10,125,100,10.0,10,sqrt,7.014910773333275,0.8629075977495939,12.337341750906312,16.13418795804081
A,15,10,125,100,10.0,10,1.0,7.221979023348735,0.8646884862172405,11.125904337843476,15.889087476350657
A,15,10,125,100,,1,sqrt,6.630780884370625,0.8616296183552439,11.599781842022624,15.93700222773305
A,15,10,125,100,,1,1.0,7.273692218379019,0.858863200153572,11.400034398219304,16.254994574819456
A,15,10,125,100,,5,sqrt,6.637968459778344,0.8635986889105576,11.541892155139577,15.821002474421888
A,15,10,125,100,,5,1.0,7.31074832291514,0.8607307881271226,11.278687594119996,16.122995934299325
A,15,10,125,100,,10,sqrt,6.561428903060974,0.863924536327507,11.624567332076328,15.825261901998797
A,15,10,125,100,,10,1.0,7.226256499318785,0.8621721902248888,11.205610769116523,16.010642279506307
A,15,10,125,200,5.0,1,sqrt,9.600550575752973,0.8459746360506163,15.76229582314996,18.726117720846727
A,15,10,125,200,5.0,1,1.0,7.38942948531272,0.8630819222273853,11.828382519370072,16.24233297999969
A,15,10,125,200,5.0,5,sqrt,9.636480040787058,0.8458975590436113,15.80162140134644,18.760449548682992
A,15,10,125,200,5.0,5,1.0,7.388811011520285,0.8630909081831175,11.828560285584988,16.240888177234293
A,15,10,125,200,5.0,10,sqrt,9.654603482940592,0.8458814145384611,15.717195404919304,18.70959197559169
A,15,10,125,200,5.0,10,1.0,7.38829629115146,0.8630959696091557,11.82818868491818,16.239698497658413
