feature_set,window_size,n_components,clipping_threshold,max_depth,min_samples_leaf,min_samples_split,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,15,120,,5,2,sqrt,19.88056271592016,0.804377271821167,13.463578559203867,20.220284822747534
A,15,15,120,,5,2,1.0,15.742244754040726,0.8252287668504603,11.8483402428136,18.87433058622554
A,15,15,120,,5,10,sqrt,19.88056271592016,0.804377271821167,13.463578559203867,20.220284822747534
A,15,15,120,,5,10,1.0,15.742244754040726,0.8252287668504603,11.8483402428136,18.87433058622554
A,15,15,120,,10,2,sqrt,15.17965476293521,0.8142220352561509,13.222521124625569,19.43261184854064
A,15,15,120,,10,2,1.0,11.142197010959316,0.8406371729844733,11.150478995448385,17.432338040022763
A,15,15,120,,10,10,sqrt,15.17965476293521,0.8142220352561509,13.222521124625569,19.43261184854064
A,15,15,120,,10,10,1.0,11.142197010959316,0.8406371729844733,11.150478995448385,17.432338040022763
A,15,15,125,5.0,1,2,sqrt,25.670607103197348,0.7447325350919718,16.3532674581029,20.711828568115788
A,15,15,125,5.0,1,2,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,15,125,5.0,1,10,sqrt,26.257874450242745,0.7420608484944752,16.48165581955546,20.85300071558508
A,15,15,125,5.0,1,10,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,15,125,5.0,5,2,sqrt,26.27440938710019,0.7421682929853144,16.460889062282707,20.837645680028913
A,15,15,125,5.0,5,2,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,15,125,5.0,5,10,sqrt,26.27440938710019,0.7421682929853144,16.460889062282707,20.837645680028913
A,15,15,125,5.0,5,10,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,15,125,5.0,10,2,sqrt,26.025921721021973,0.7455015348785388,16.27967934493,20.70798025070257
A,15,15,125,5.0,10,2,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,15,125,5.0,10,10,sqrt,26.025921721021973,0.7455015348785388,16.27967934493,20.70798025070257
A,15,15,125,5.0,10,10,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
