feature_set,window_size,n_components,clipping_threshold,kernel,C,epsilon,gamma,degree,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,125,rbf,10.0,0.01,scale,3,8.785567033996381,0.8638927859542115,10.342380877294724,15.947082575881804
A,15,10,125,rbf,10.0,0.01,0.01,2,7.67192709637753,0.8663198268198883,10.67723185502801,15.893495799437607
A,15,10,125,rbf,10.0,0.01,0.01,3,7.67192709637753,0.8663198268198883,10.67723185502801,15.893495799437607
A,15,10,125,rbf,10.0,0.1,scale,2,8.787410090788322,0.8638902136774902,10.341088609676191,15.94644053960594
A,15,10,125,rbf,10.0,0.1,scale,3,8.787410090788322,0.8638902136774902,10.341088609676191,15.94644053960594
A,15,10,125,rbf,10.0,0.1,0.01,2,7.680104496082381,0.866290486031972,10.67536932468746,15.894767455581835
A,15,10,125,rbf,10.0,0.1,0.01,3,7.680104496082381,0.866290486031972,10.67536932468746,15.894767455581835
A,15,10,125,linear,0.1,0.01,scale,2,6.153868537673541,0.856131959791373,13.923126929777576,18.066916047462776
A,15,10,125,linear,0.1,0.01,scale,3,6.153868537673541,0.856131959791373,13.923126929777576,18.066916047462776
A,15,10,125,linear,0.1,0.01,0.01,2,6.153868537673541,0.856131959791373,13.923126929777576,18.066916047462776
A,15,10,125,linear,0.1,0.01,0.01,3,6.153868537673541,0.856131959791373,13.923126929777576,18.066916047462776
A,15,10,125,linear,0.1,0.1,scale,2,6.153074800446868,0.8561177616944808,13.922131646266532,18.066199893163382
A,15,10,125,linear,0.1,0.1,scale,3,6.153074800446868,0.8561177616944808,13.922131646266532,18.066199893163382
A,15,10,125,linear,0.1,0.1,0.01,2,6.153074800446868,0.8561177616944808,13.922131646266532,18.066199893163382
A,15,10,125,linear,0.1,0.1,0.01,3,6.153074800446868,0.8561177616944808,13.922131646266532,18.066199893163382
A,15,10,125,linear,1.0,0.01,scale,2,6.154267899089246,0.8561083325303874,13.911378294657167,18.060640926598
A,15,10,125,linear,1.0,0.01,scale,3,6.154267899089246,0.8561083325303874,13.911378294657167,18.060640926598
A,15,10,125,linear,1.0,0.01,0.01,2,6.154267899089246,0.8561083325303874,13.911378294657167,18.060640926598
A,15,10,125,linear,1.0,0.01,0.01,3,6.154267899089246,0.8561083325303874,13.911378294657167,18.060640926598
A,15,10,125,linear,1.0,0.1,scale,2,6.157263887807479,0.8560735821806175,13.911860907049888,18.061464260795937
A,15,10,125,linear,1.0,0.1,scale,3,6.157263887807479,0.8560735821806175,13.911860907049888,18.061464260795937
A,15,10,125,linear,1.0,0.1,0.01,2,6.157263887807479,0.8560735821806175,13.911860907049888,18.061464260795937
A,15,10,125,linear,1.0,0.1,0.01,3,6.157263887807479,0.8560735821806175,13.911860907049888,18.061464260795937
A,15,10,125,linear,10.0,0.01,scale,2,6.153792097837084,0.8560973048587508,13.910472824507613,18.060242752243383
A,15,10,125,linear,10.0,0.01,scale,3,6.153792097837084,0.8560973048587508,13.910472824507613,18.060242752243383
A,15,10,125,linear,10.0,0.01,0.01,2,6.153792097837084,0.8560973048587508,13.910472824507613,18.060242752243383
A,15,10,125,linear,10.0,0.01,0.01,3,6.153792097837084,0.8560973048587508,13.910472824507613,18.060242752243383
A,15,10,125,linear,10.0,0.1,scale,2,6.156414062626867,0.8560664738466122,13.910604603055296,18.06087924885543
A,15,10,125,linear,10.0,0.1,scale,3,6.156414062626867,0.8560664738466122,13.910604603055296,18.06087924885543
A,15,10,125,linear,10.0,0.1,0.01,2,6.156414062626867,0.8560664738466122,13.910604603055296,18.06087924885543
A,15,10,125,linear,10.0,0.1,0.01,3,6.156414062626867,0.8560664738466122,13.910604603055296,18.06087924885543
A,15,10,125,poly,0.1,0.01,scale,2,129.99792364628624,0.6519930483432304,24.41943499108256,31.729933907086064
A,15,10,125,poly,0.1,0.01,scale,3,43.87269339311846,0.8437632903952451,20.422373803942826,26.2207056764856
A,15,10,125,poly,0.1,0.01,0.01,2,167.55066764307443,0.6256762352919674,27.24503842019364,34.66213586444047
A,15,10,125,poly,0.1,0.01,0.01,3,122.01103537468536,0.8242982421204195,23.914612450802537,31.55189062239368
A,15,10,125,poly,0.1,0.1,scale,2,129.8691112157702,0.6520057665125529,24.418398574360744,31.72943051522329
