feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,125,log,0.1,0.0,0.5,6.195333822637008,0.8569726413154104,13.179287861784355,18.7298382193932
A,15,10,125,log,0.1,0.0,1.0,6.195333822637008,0.8569726413154104,13.179287861784355,18.7298382193932
A,15,10,125,log,0.1,0.1,0.0,6.7927295359368145,0.858037755224224,14.295758321806876,20.07196767995822
A,15,10,125,log,0.1,0.1,1.0,6.2857328444960725,0.8567483185283115,13.538504642083172,19.11098900446992
A,15,10,125,log,0.1,0.1,0.5,6.472886235668595,0.8576382161547501,13.88863277291308,19.553253798513555
A,15,10,125,log,0.1,0.5,0.0,14.172812604070606,0.8597623577639469,20.607202359422114,27.10955951044486
A,15,10,125,log,0.1,0.5,0.5,9.87660919574219,0.8582518457460493,17.578189303115046,23.8422742627909
A,15,10,125,log,0.1,0.5,1.0,7.09965869032308,0.8555405733094966,15.06410684516707,20.85814335609286
A,15,10,125,log,0.5,0.0,0.0,6.433751658279041,0.8558754319362889,13.13559358917876,18.877334392102355
A,15,10,125,log,0.5,0.0,0.5,6.433751658279041,0.8558754319362889,13.13559358917876,18.877334392102355
A,15,10,125,log,0.5,0.0,1.0,6.433751658279041,0.8558754319362889,13.13559358917876,18.877334392102355
A,15,10,125,log,0.5,0.1,0.0,13.219369497550314,0.8585984302261535,19.656765569096827,26.285401491559888
A,15,10,125,log,0.5,0.1,0.5,9.661259910397709,0.8570454571493105,17.031449883171582,23.430619023538053
A,15,10,125,log,0.5,0.1,1.0,7.254445777001375,0.8549117614256849,14.812234371521583,20.778277583203447
A,15,10,125,log,0.5,0.5,0.0,112.86367340857628,0.8594679212452648,44.53826465269823,50.54817065191888
A,15,10,125,log,0.5,0.5,0.5,58.297524058575576,0.8541829183053865,35.950012052856195,42.40685400341761
A,15,10,125,log,0.5,0.5,1.0,20.317388291682356,0.8354116804787841,23.284495376809083,30.491541030998953
A,15,10,125,log,1.0,0.0,0.0,6.484577359499893,0.8556215434263559,13.130239886928212,18.9079382568022
A,15,10,125,log,1.0,0.0,0.5,6.484577359499893,0.8556215434263559,13.130239886928212,18.9079382568022
A,15,10,125,log,1.0,0.0,1.0,6.484577359499893,0.8556215434263559,13.130239886928212,18.9079382568022
A,15,10,125,log,1.0,0.1,0.0,27.71046943389745,0.8588787689146054,27.15633290397106,33.858988110276336
A,15,10,125,log,1.0,0.1,0.5,16.53199312328744,0.8567972412200062,21.780953779269012,28.556886043475497
A,15,10,125,log,1.0,0.1,1.0,9.080554829757515,0.8512936635486386,16.746197353095788,23.075231227529763
A,15,10,125,log,1.0,0.5,0.0,331.1443683333374,0.8593763791967296,58.012991370828445,64.04230318403316
A,15,10,125,log,1.0,0.5,0.5,181.46051359981396,0.8490304603271367,50.003136434287086,56.24290514015421
A,15,10,125,log,1.0,0.5,1.0,49.248014256473496,0.8338931577739253,33.43229116009449,40.2922832501385
A,15,10,125,log,1.5,0.0,0.0,6.503446922521637,0.8555232669714616,13.128274372514081,18.919077704629263
A,15,10,125,log,1.5,0.0,0.5,6.503446922521637,0.8555232669714616,13.128274372514081,18.919077704629263
A,15,10,125,log,1.5,0.0,1.0,6.503446922521637,0.8555232669714616,13.128274372514081,18.919077704629263
A,15,10,125,log,1.5,0.1,0.0,48.683331835804424,0.8589047153424877,33.85995774186896,40.29650551581334
A,15,10,125,log,1.5,0.1,0.5,26.585016302018875,0.8560262717563216,26.655477038732947,33.468164699554464
A,15,10,125,log,1.5,0.1,1.0,11.879866410696101,0.8461033343621104,18.839133311097033,25.551950276132754
A,15,10,125,log,1.5,0.5,0.0,589.5505477210767,0.8593191099817072,64.92599967695841,71.17766145020447
A,15,10,125,log,1.5,0.5,0.5,350.4385250146888,0.8447684650356967,58.00629621883147,64.38957201922022
A,15,10,125,log,1.5,0.5,1.0,95.50706128781667,0.8338931577739253,42.008403939615945,48.640247068328975
A,15,10,130,log,0.1,0.0,0.0,6.213005857017093,0.8562513870633209,12.748851774611513,18.320188970413348
A,15,10,130,log,0.1,0.0,0.5,6.213005857017093,0.8562513870633209,12.748851774611513,18.320188970413348
A,15,10,130,log,0.1,0.0,1.0,6.213005857017093,0.8562513870633209,12.748851774611513,18.320188970413348
A,15,10,130,log,0.1,0.1,0.0,6.567663627758617,0.8574485298150295,13.734516172893652,19.496129623807082
A,15,10,130,log,0.1,0.1,0.5,6.33749801926506,0.8569661688060304,13.37349144645458,19.02978512713603
A,15,10,130,log,0.1,0.1,1.0,6.237229795027663,0.8561050051813137,13.0721079477991,18.649151715397032
A,15,10,130,log,0.1,0.5,0.0,13.023070230650982,0.8595674217556711,19.640732778566907,26.166524045030464
A,15,10,130,log,0.1,0.5,0.5,9.144133576366087,0.8580471408404952,16.759040977041074,23.01186120926487
