feature_set,window_size,n_components,clipping_threshold,baseline_estimation_method,n_baseline_knots,penalizer,l1_ratio,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,125,spline,3,1.0,1.0,0.5,,,,
A,20,10,125,spline,3,1.0,1.0,0.95,,,,
A,20,10,125,spline,5,0.0,0.0,0.3,,,,
A,20,10,125,spline,5,0.0,0.0,0.5,,,,
A,20,10,125,spline,5,0.0,0.0,0.95,,,,
A,20,10,125,spline,5,0.0,0.5,0.3,,,,
A,20,10,125,spline,5,0.0,0.5,0.5,,,,
A,20,10,125,spline,5,0.0,0.5,0.95,,,,
A,20,10,125,spline,5,0.0,1.0,0.3,,,,
A,20,10,125,spline,5,0.0,1.0,0.5,,,,
A,20,10,125,spline,5,0.0,1.0,0.95,,,,
A,20,10,125,spline,5,0.1,0.0,0.3,,,,
A,20,10,125,spline,5,0.1,0.0,0.5,,,,
A,20,10,125,spline,5,0.1,0.0,0.95,,,,
A,20,10,125,spline,5,0.1,0.5,0.3,,,,
A,20,10,125,spline,5,0.1,0.5,0.5,,,,
A,20,10,125,spline,5,0.1,0.5,0.95,,,,
A,20,10,125,spline,5,0.1,1.0,0.3,,,,
A,20,10,125,spline,5,0.1,1.0,0.5,,,,
A,20,10,125,spline,5,0.1,1.0,0.95,,,,
A,20,10,125,spline,5,1.0,0.0,0.3,,,,
A,20,10,125,spline,5,1.0,0.0,0.5,,,,
A,20,10,125,spline,5,1.0,0.0,0.95,,,,
A,20,10,125,spline,5,1.0,0.5,0.3,,,,
