feature_set,window_size,n_components,clipping_threshold,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,300,0.05,3,0.8,0.8,1.0,5,2.932671074963457,0.8964227326173193,8.36641745375008,12.233424684520578
A,20,10,115,300,0.05,3,0.8,0.8,10.0,1,2.931210072213724,0.8967310763788017,8.355497458139984,12.22326733308849
A,20,10,115,300,0.05,3,0.8,0.8,10.0,5,2.9315642253973584,0.896843051478271,8.355551429791408,12.221658027921492
A,20,10,115,300,0.05,3,0.8,1.0,0.1,1,2.931677353475346,0.8964775295122409,8.34565937778513,12.234567381046856
A,20,10,115,300,0.05,3,0.8,1.0,0.1,5,2.933456904913348,0.896673687692623,8.33989585532764,12.227391908761067
A,20,10,115,300,0.05,3,0.8,1.0,1.0,1,2.9296313831647107,0.8962653403814558,8.350030809293449,12.230916354967473
A,20,10,115,300,0.05,3,0.8,1.0,1.0,5,2.940597686893441,0.8962897273595678,8.348199540460545,12.234946811881738
A,20,10,115,300,0.05,3,0.8,1.0,10.0,1,2.9449295441400904,0.8963199972094935,8.341393221953368,12.241549092319184
A,20,10,115,300,0.05,3,0.8,1.0,10.0,5,2.9358630094425613,0.8962469536779001,8.337388921478246,12.232557260990172
A,20,10,115,300,0.05,3,1.0,0.8,0.1,1,2.924207040120648,0.8965403978192489,8.36230874621006,12.219395795749724
A,20,10,115,300,0.05,3,1.0,0.8,0.1,5,2.9334757854299007,0.8966369345127105,8.371744520227162,12.23065691696006
A,20,10,115,300,0.05,3,1.0,0.8,1.0,1,2.939565886378876,0.8963459024205875,8.374947519090444,12.242359632473308
A,20,10,115,300,0.05,3,1.0,0.8,1.0,5,2.9319320942936464,0.8964717457766914,8.36209679566387,12.221683496707026
A,20,10,115,300,0.05,3,1.0,0.8,10.0,1,2.930924911649272,0.896257346064224,8.370713896638868,12.226229046678656
A,20,10,115,300,0.05,3,1.0,0.8,10.0,5,2.936770281238809,0.8960950624080743,8.380890388224786,12.242182606226852
A,20,10,115,300,0.05,3,1.0,1.0,0.1,1,2.9564191450737742,0.8960341164356096,8.368499068087697,12.264867545386476
A,20,10,115,300,0.05,3,1.0,1.0,0.1,5,2.955609639384403,0.8959077689670177,8.38364148351085,12.278202050284882
A,20,10,115,300,0.05,3,1.0,1.0,1.0,1,2.943656825113647,0.8961365044285223,8.373970087176232,12.26090900030804
A,20,10,115,300,0.05,3,1.0,1.0,1.0,5,2.950340771012461,0.8958770800348755,8.386220432080368,12.272705938611928
A,20,10,115,300,0.05,3,1.0,1.0,10.0,1,2.958586184038634,0.8958998091190866,8.382783795599948,12.27715031030721
A,20,10,115,300,0.05,3,1.0,1.0,10.0,5,2.951693251693454,0.8960260718044857,8.370055715911246,12.262671095799984
